Station	Year 	Stats_Code	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1287	2020	0	13.6	8.6	63	55.8	208.8	182.2	451.6	176.4	37.4	82.2	107.6	8	1395.2
1287	2020	2	20.6	22	18.7	17	15	13.6	12.3	13.1	13.7	16.2	17.8	19.2	16.6
1287	2020	16	16.9	18.4	16.9	15.4	14.5	13.5	12	12.9	12.2	14.7	15.6	15.6	14.9
1287	2020	33	3.2	2.8	2.9	2.4	3.1	2.8	2.9	3.2	3.2	2.6	3.1	3.5	3
1287	2020	60	4	1	9	6	8	9	13	15	13	5	9	8	100
1287	2020	61	2.2	1.8	2.3	1.2	2.2	1.5	1.9	1.6	2.1	2.3	1.7	2	3.7
1962	2020	0	7.8	14.4	40.4	32.6	105.2	161.2	91.8	121	44	-	105.8	36.2	-
1962	2020	2	19.9	21.4	19	16.5	14.1	13.2	11.7	12.4	13.3	15.8	17.6	18.7	16.1
1962	2020	16	16.6	17.7	15.7	15.2	13.1	13	11.7	12.2	12	14.3	15.3	15.2	14.3
1962	2020	33	5.3	4.5	4.1	4	3.6	4.1	4.2	4.6	5.4	4.3	5.4	5.6	4.6
1962	2020	60	6	8	8	9	9	13	12	16	15	-	16	16	-
1962	2020	61	1.9	1.7	2	1.4	2.1	1.2	1.8	1.5	2	2.7	1.4	2	3.7
1287	2021	0	75	98.2	63.8	110	80	197.8	186	202.4	153.6	242.4	49.6	54.8	1513.6
1287	2021	2	20.5	20.3	19.1	17.4	14.9	14.1	12.3	12.8	13.9	15.7	18.7	21.2	16.7
1287	2021	16	17.6	18.5	17.3	16.4	14.5	14.2	12.3	12.1	13.2	15.4	16.4	18.7	15.6
1287	2021	33	3	2.9	2.7	2.4	2.5	3	3.1	3.1	3.4	3.2	2.7	3.2	2.9
1287	2021	60	7	2	4	5	8	8	11	8	10	11	4	7	85
1287	2021	61	1.8	1.2	1.7	2.1	2.2	2	1.9	1.5	1.8	2.1	2.2	1.2	3.6
1962	2021	0	40.6	49.2	49.2	65.6	67	102.4	87.6	90.6	112.2	104.8	36.8	-	-
1962	2021	2	20.4	20.5	19.4	17.3	14.4	13.4	11.6	12.3	13.3	15.6	18.2	21	16.5
1962	2021	16	17.2	17.2	16.5	16.3	13.8	13.6	11.6	11.7	12.2	14.4	16.6	18.7	15
1962	2021	33	4.8	4.1	3.9	4.1	4.1	3.8	4.4	4.8	5.2	5.3	4.1	5.3	4.5
1962	2021	60	10	7	7	13	11	10	16	14	15	17	6	-	-
1962	2021	61	1.3	1.1	1.3	2	2.3	2.1	2.2	1.5	1.6	1.8	1.9	1.2	3.7
1287	2022	0	34	117.4	139	260.4	146	163.4	373.2	86.2	91.6	162	367	-	-
1287	2022	2	21.3	22	20.2	18.3	15.6	13.6	13.4	13.3	13.9	15.4	18.1	19.5	17.1
1287	2022	16	18.2	20.9	17.9	17.5	14.9	13	13.3	13.2	13.3	14.4	16.7	18.3	16
1287	2022	33	3.5	3.2	3.2	2.9	2.4	2.6	3	3	2.7	3.1	3.4	3.1	3
1287	2022	60	6	5	9	9	6	12	14	8	-	8	12	5	-
1287	2022	61	1.2	2.2	1.2	2	2.2	1.9	2.1	2.4	2.2	2	1.6	1.6	3.6
1962	2022	0	8.8	63.2	121.4	34	-	147	257.2	156.4	114	106.6	165.4	107	-
1962	2022	2	21.6	22.3	20.3	17.9	15.2	13.2	13.1	12.9	13.6	15.3	17.7	19.9	16.9
1962	2022	16	17.4	19.8	16.6	16	14.5	12.7	12.9	12.5	12.5	13.6	16.3	18.1	15.2
1962	2022	33	4.5	4.9	4.4	3.9	3.9	4.3	4.9	4.1	4.2	4.7	5.1	4.3	4.4
1962	2022	60	7	11	7	11	-	15	20	10	10	13	18	6	-
1962	2022	61	0.9	2.1	1.3	2.1	2.1	2.1	1.9	2.3	2.2	2.2	1.2	1.9	3.8
1287	2023	0	489.1	357.7	16.6	235.8	-	182.8	104	91.9	121.9	153.7	56.9	86.7	-
1287	2023	2	20.4	19.9	18.3	17.8	16.1	12.4	12.6	10.8	14.1	15.5	16.6	19.8	16.2
1287	2023	16	19.6	18.9	16.2	17.5	16.1	12.2	12	11	13.6	13.9	15.1	18.1	15.3
1287	2023	33	4.9	4.1	2.9	4.5	4.3	2.9	4.2	2.9	4	4.6	3.5	3.6	3.9
1287	2023	60	14	-	4	14	-	8	18	6	12	14	7	6	-
1287	2023	61	1.2	1.8	1.8	2.2	2.8	1.7	1.4	1.1	1.5	2	1.8	2.4	3.6
1962	2023	0	419.6	205.2	47.6	94	270.8	117	98	68	133.4	59.6	-	146.8	-
1962	2023	2	20.4	20.1	18.2	17.9	15.7	12.4	12.2	10.9	14.2	15.3	16.7	19.6	16.1
1962	2023	16	18.9	18.9	16.9	16.5	16.1	12.2	11.9	10.9	13.5	13.6	14.7	17.8	15.1
1962	2023	33	5.3	5.2	4	4.9	5.1	3.9	5.8	3.7	5.7	5.6	4.8	4.9	4.9
1962	2023	60	16	10	6	18	18	10	22	-	16	14	-	10	-
1962	2023	61	0.9	1.6	2	2.1	2.8	1.8	1.6	1.3	1.5	2	1.5	2.3	3.6
1287	2024	0	43.2	-	42.7	82.3	90.3	149.6	170.5	-	-	-	-	-	-
1287	2024	2	21.1	20.2	18	16.9	13.6	13.8	11.9	-	-	-	-	-	-
