Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh),Export prices,Export volumes,Export values,Import prices,Import volumes,Import values,Population
2012-01-01,75.2,17.0,14.9,6.033333333333334,19.666666666666668,2.0,2012.0,1.0,1/01/12,244.928,155.267,1138,1196,"11,049",918,1632,"10,745",303300.0
2012-02-01,95.26666666666667,17.2,15.133333333333333,4.666666666666667,12.333333333333334,1.7,2012.0,2.0,1/02/12,246.587,148.387,1138,1196,"11,049",918,1632,"10,745",303300.0
2012-03-01,98.0,15.566666666666668,13.466666666666667,5.866666666666667,19.333333333333332,2.0,2012.0,3.0,1/03/12,268.878,166.79,1138,1196,"11,049",918,1632,"10,745",303300.0
2012-04-01,47.76666666666667,14.466666666666667,13.033333333333333,4.966666666666667,14.666666666666666,1.9333333333333333,2012.0,4.0,1/04/12,245.555,176.929,1126,1304,"11,919",932,1648,"11,026",303300.0
2012-05-01,80.13333333333333,11.0,10.933333333333332,4.733333333333333,13.666666666666666,2.266666666666667,2012.0,5.0,1/05/12,288.747,213.522,1126,1304,"11,919",932,1648,"11,026",303300.0
2012-06-01,96.33333333333333,9.466666666666667,9.666666666666666,5.566666666666666,19.333333333333332,2.3666666666666667,2012.0,6.0,1/06/12,270.963,241.15,1126,1304,"11,919",932,1648,"11,026",303300.0
2012-07-01,126.46666666666665,9.566666666666668,9.666666666666666,4.733333333333333,12.0,2.1666666666666665,2012.0,7.0,1/07/12,270.326,257.305,1055,1186,"10,155",902,1781,"11,533",303300.0
2012-08-01,98.53333333333335,10.666666666666666,10.799999999999999,3.6333333333333333,10.333333333333334,1.3666666666666665,2012.0,8.0,1/08/12,270.729,243.359,1055,1186,"10,155",902,1781,"11,533",303300.0
2012-09-01,78.06666666666666,11.566666666666668,10.333333333333334,5.933333333333334,17.666666666666668,2.3666666666666667,2012.0,9.0,1/09/12,252.064,219.405,1055,1186,"10,155",902,1781,"11,533",303300.0
2012-10-01,86.19999999999999,12.733333333333334,11.166666666666666,6.566666666666666,24.0,1.7666666666666666,2012.0,10.0,1/10/12,256.144,199.576,1036,1298,"10,913",896,1795,"11,545",303300.0
2012-11-01,45.0,13.266666666666666,11.200000000000001,5.666666666666667,21.0,1.9000000000000001,2012.0,11.0,1/11/12,256.954,175.615,1036,1298,"10,913",896,1795,"11,545",303300.0
