Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh)
2020-07-01,97.8,9.65,10.025,3.05,8.5,2.15,2020.0,7.0,1/07/20,472.589,309.107
2020-08-01,51.800000000000004,10.6,10.525,3.125,8.5,2.4,2020.0,8.0,1/08/20,486.389,288.363
2020-09-01,50.75,12.225,10.525,4.35,16.25,2.5,2020.0,9.0,1/09/20,479.647,247.337
2020-10-01,43.75,14.55,12.875,3.2,5.5,3.175,2020.0,10.0,1/10/20,481.752,216.431
2020-11-01,158.20000000000002,16.4,14.25,3.7249999999999996,12.0,2.375,2020.0,11.0,1/11/20,448.515,189.11
2020-12-01,27.65,17.700000000000003,14.45,3.825,11.75,2.85,2020.0,12.0,1/12/20,470.609,190.322
2021-01-01,67.55,19.15,15.975,3.4,8.333333333333334,2.175,2021.0,1.0,1/01/21,476.603,191.55
2021-02-01,52.4,18.6,15.625,3.125,4.75,1.75,2021.0,2.0,1/02/21,443.019,168.98
2021-03-01,88.19999999999999,17.425,14.925,3.225,7.75,2.025,2021.0,3.0,1/03/21,497.751,189.059
2021-04-01,54.13333333333333,15.525,14.1,3.05,7.75,2.8,2021.0,4.0,1/04/21,471.06,203.387
2021-05-01,77.33333333333333,12.675,11.975,3.5,8.666666666666666,2.825,2021.0,5.0,1/05/21,484.367,257.024
2021-06-01,113.5,11.675,11.55,3.25,10.0,2.65,2021.0,6.0,1/06/21,453.558,277.352
2021-07-01,79.525,9.525,9.775,3.3,8.25,2.5,2021.0,7.0,1/07/21,454.396,321.911
2021-08-01,82.5,10.05,9.725000000000001,3.525,10.5,2.025,2021.0,8.0,1/08/21,416.503,306.973
2021-09-01,123.525,11.725,10.9,3.925,13.333333333333334,2.275,2021.0,9.0,1/09/21,438.55,267.932
2021-10-01,104.2,14.4,13.25,3.7,8.5,2.8,2021.0,10.0,1/10/21,447.036,228.073
2021-11-01,127.625,17.325,15.55,3.85,8.0,2.425,2021.0,11.0,1/11/21,432.409,193.41
2021-12-01,107.775,20.0,17.75,3.8,7.5,1.7,2021.0,12.0,1/12/21,454.296,197.684
2022-01-01,28.05,19.6,16.375,3.65,5.75,1.725,2022.0,1.0,1/01/22,452.193,196.794
2022-02-01,164.25,20.25,18.375,3.6,5.0,2.675,2022.0,2.0,1/02/22,423.89,178.549
2022-03-01,177.85000000000002,17.65,15.55,3.7750000000000004,8.5,1.425,2022.0,3.0,1/03/22,470.58,195.908
2022-04-01,48.0,15.375,14.525,3.15,5.5,2.55,2022.0,4.0,1/04/22,452.652,203.65
2022-05-01,120.6,12.8,12.75,3.125,6.75,2.4749999999999996,2022.0,5.0,1/05/22,456.869,249.098
2022-06-01,137.6,11.525,11.25,3.75,12.0,2.775,2022.0,6.0,1/06/22,418.456,285.227
2022-07-01,171.65,11.225,11.024999999999999,3.95,13.75,2.425,2022.0,7.0,1/07/22,441.703,307.94
2022-08-01,75.4,11.175,10.975,3.45,7.0,3.075,2022.0,8.0,1/08/22,465.773,290.834
2022-09-01,195.6,12.125,11.55,3.675,10.0,2.45,2022.0,9.0,1/09/22,457.366,259.108
2022-10-01,98.125,13.674999999999999,12.1,3.75,10.5,2.925,2022.0,10.0,1/10/22,457.577,232.077
2022-11-01,150.25,17.1,15.075,4.225,14.25,1.675,2022.0,11.0,1/11/22,430.748,193.883
2022-12-01,123.0,18.3,16.875,3.6,7.5,2.0,2022.0,12.0,1/12/22,434.912,199.738
2023-01-01,230.32500000000002,19.175,17.9,4.275,11.5,1.4,2023.0,1.0,1/01/23,431.888,201.289
2023-02-01,283.975,19.333333333333332,17.975,4.0,7.666666666666667,1.9333333333333336,2023.0,2.0,1/02/23,375.063,176.214
2023-03-01,58.46666666666667,16.975,15.15,3.25,7.333333333333333,2.45,2023.0,3.0,1/03/23,422.996,196.935
2023-04-01,66.475,16.075,15.15,3.525,8.5,2.475,2023.0,4.0,1/04/23,414.978,209.068
2023-05-01,164.275,14.15,14.05,3.925,11.25,3.325,2023.0,5.0,1/05/23,438.495,255.924
2023-06-01,225.925,11.375,11.15,3.675,9.333333333333334,2.0,2023.0,6.0,1/06/23,388.294,294.665
2023-07-01,76.65,10.15,9.825,4.125,15.0,1.9,2023.0,7.0,1/07/23,397.003,316.841
2023-08-01,47.45,9.15,9.175,3.3,9.333333333333334,1.725,2023.0,8.0,1/08/23,436.534,320.534
2023-09-01,177.575,13.075,11.9,4.25,14.0,2.25,2023.0,9.0,1/09/23,403.532,245.283
2023-10-01,70.63333333333334,14.3,12.275,4.425,15.0,2.75,2023.0,10.0,1/10/23,434.878,225.282
2023-11-01,135.76666666666668,15.775000000000002,13.975,3.9,10.25,2.2,2023.0,11.0,1/11/23,408.14,199.677
2023-12-01,79.60000000000001,19.1,16.7,3.925,9.0,2.725,2023.0,12.0,1/12/23,424.776,203.497
2024-01-01,92.375,20.425,17.875,3.7,8.5,2.3,2024.0,1.0,1/01/24,424.482,205.798
2024-02-01,43.575,19.275,16.8,3.525,6.75,2.0,2024.0,2.0,1/02/24,415.395,185.524
2024-03-01,63.2,16.225,13.725,3.8,13.0,2.625,2024.0,3.0,1/03/24,439.393,204.168
2024-04-01,52.35,14.8,13.7,3.175,7.5,2.725,2024.0,4.0,1/04/24,450.067,214.703
2024-05-01,100.4,10.95,10.75,3.15,8.0,1.6500000000000001,2024.0,5.0,1/05/24,471.065,279.464
2024-06-01,166.46666666666667,11.0,11.125,3.275,7.5,2.0,2024.0,6.0,1/06/24,412.198,283.221
