Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2012-03-01,7339,74,11.9,10,3.2,12,2.4
2012-05-01,7339,34,7.4,8,3,12,1.8
2012-11-01,7339,-,11.1,10.1,3.7,16,2.8
2012-10-01,7339,-,9.7,9,4.4,21,2.5
2012-09-01,7339,-,9.7,8.5,3.6,14,2.9
2013-04-01,7339,45.3,10.3,9.8,2.8,-,2.8
2013-08-01,7339,15.6,7.9,8.1,2.7,6,1.9
2013-12-01,7339,95,14.3,12.9,3.4,12,2.3
2013-02-01,7339,33.2,15.1,12.7,2.9,8,2.6
2013-01-01,7339,-,15.8,12.9,3.5,12,3
2013-07-01,7339,27.2,6.7,7,2.9,14,2.9
2013-06-01,7339,124,5.5,7.4,3.1,11,2.9
2013-03-01,7339,31.6,14.8,11.9,2.6,9,2.8
2013-05-01,7339,116.6,7.8,8.7,2.9,11,2.1
2013-11-01,7339,12.8,13.2,11.3,3.3,10,2.5
2013-10-01,7339,63.4,11.4,9.3,3.8,19,2.9
2013-09-01,7339,45.4,8.2,8.3,3.5,13,2.2
2014-04-01,7339,68.2,11.5,10.8,3.1,10,2.7
2014-08-01,7339,35.2,6.5,7.1,3.6,13,2.5
2014-12-01,7339,29.8,14.3,11.7,3.3,12,3.5
2014-02-01,7339,56.8,14.5,12.8,3.2,9,2.6
2014-01-01,7339,56.8,13.9,11.4,4.4,17,2
2014-07-01,7339,22.8,5.9,7,3.8,15,2.8
2014-06-01,7339,11.4,6.9,7.5,2.6,11,2.3
2014-03-01,7339,57,12.9,11.1,3.1,-,2.4
2014-05-01,7339,-,8.4,8.7,3,-,2.3
2014-11-01,7339,-,11.6,9.1,4.3,-,3.2
2014-10-01,7339,-,10.4,9,4,19,2.3
2014-09-01,7339,38,8.2,8.3,3,10,2
2015-04-01,7339,59.6,10.8,10,3.3,14,3.9
2015-08-01,7339,55.4,5.5,6.9,2.7,11,2.3
2015-12-01,7339,38,14.7,11.1,4.3,16,3.2
2015-02-01,7339,46.6,14.5,12.5,3.2,8,3.3
2015-01-01,7339,22.2,16.5,12.6,3.3,12,2.9
2015-07-01,7339,19.4,4.8,6.1,3.2,14,2.5
2015-06-01,7339,158.2,5.8,6.8,4.3,22,2.8
2015-03-01,7339,42.4,13.8,11.6,2.8,7,3.1
2015-05-01,7339,37.4,8.1,7.9,3.8,22,3.1
2015-11-01,7339,35,11.7,9.4,3.9,17,3.1
2015-10-01,7339,73.2,10.9,8.4,4.8,23,2.4
2015-09-01,7339,22.4,7.8,8.1,3.7,10,2.7
