Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2020-09-01,2283,118.2,11.6,11.7,6.7,22,2.3
2021-04-01,2283,91.2,15.1,15.8,4.9,19,2.3
2021-08-01,2283,131.6,10.6,11.1,5.4,21,1.7
2021-12-01,2283,268.4,18.8,19,5.5,18,1.6
2021-02-01,2283,43.6,17.3,16.5,5.1,14,1.9
2021-01-01,2283,118.4,17.6,17.1,5.2,15,1.5
2021-07-01,2283,115.8,10.3,11.1,5.4,16,2.3
2021-06-01,2283,133.8,12,12.8,4.9,13,2.4
2021-03-01,2283,184.8,17.2,15.5,5.3,19,1.7
2021-05-01,2283,123.6,12.9,13.6,5.9,17,2.5
2021-11-01,2283,118.2,15.8,15.7,5.8,15,1.7
2021-10-01,2283,151.8,13.8,14.1,4.9,13,2
2021-09-01,2283,114,11.2,11.9,6.4,20,2.1
2022-04-01,2283,52.8,15.6,15.2,4.4,9,2.4
2022-08-01,2283,283.2,11.6,11.7,5.9,20,2.4
2022-12-01,2283,129.6,17.8,16.6,4.7,12,1.9
2022-02-01,2283,266.6,19.9,19,5.9,16,2.5
2022-01-01,2283,9.4,19,16.9,4.9,14,1.4
2022-07-01,2283,233.4,11.4,11.6,6.2,23,2.2
2022-06-01,2283,247.2,12,12.2,6.5,21,2.4
2022-03-01,2283,94.2,18.4,15.4,6.1,17,1.3
2022-05-01,2283,163.4,13.7,14.2,5,15,2.4
2022-11-01,2283,170.6,16.3,15.5,5.9,18,1.4
2022-10-01,2283,148.2,13.1,12.3,5.1,17,2.4
2022-09-01,2283,136.8,12,12.2,5.2,14,2.2
2023-04-01,2283,89.4,15.8,15.1,4.9,13,2.2
2023-08-01,2283,120,9,9.9,4.5,17,1.8
2023-12-01,2283,145,17.4,17.4,4.9,9,2
2023-02-01,2283,109,18.5,17.3,6,16,2.2
2023-01-01,2283,161,19.3,16.9,5.4,15,1.3
2023-07-01,2283,88.8,11,11.1,6.4,24,2
2023-06-01,2283,131,11.6,10.7,4.9,11,1.9
2023-03-01,2283,102.8,16.1,15.3,4.9,14,2.4
2023-05-01,2283,218.4,14.5,14.5,5.5,-,2.9
2023-11-01,2283,158.2,14.7,13.7,6.1,17,1.6
