Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2022-11-01,1287,367,18.1,16.7,3.4,12,1.6
2022-10-01,1287,162,15.4,14.4,3.1,8,2
2022-09-01,1287,91.6,13.9,13.3,2.7,-,2.2
2023-04-01,1287,235.8,17.8,17.5,4.5,14,2.2
2023-08-01,1287,91.9,10.8,11,2.9,6,1.1
2023-12-01,1287,86.7,19.8,18.1,3.6,6,2.4
2023-02-01,1287,357.7,19.9,18.9,4.1,-,1.8
2023-01-01,1287,489.1,20.4,19.6,4.9,14,1.2
2023-07-01,1287,104,12.6,12,4.2,18,1.4
2023-06-01,1287,182.8,12.4,12.2,2.9,8,1.7
2023-03-01,1287,16.6,18.3,16.2,2.9,4,1.8
2023-05-01,1287,-,16.1,16.1,4.3,-,2.8
2023-11-01,1287,56.9,16.6,15.1,3.5,7,1.8
2023-10-01,1287,153.7,15.5,13.9,4.6,14,2
2023-09-01,1287,121.9,14.1,13.6,4,12,1.5
2024-04-01,1287,82.3,16.9,16.2,3.2,6,1.8
2024-08-01,1287,-,-,-,-,-,-
2024-12-01,1287,-,-,-,-,-,-
2024-02-01,1287,-,20.2,18.1,3.1,2,1.3
2024-01-01,1287,43.2,21.1,19.4,3.6,4,2
2024-07-01,1287,170.5,11.9,12.1,2.9,10,2
2024-06-01,1287,149.6,13.8,13.6,3.2,9,1.8
2024-03-01,1287,42.7,18,15.7,3.5,9,2.2
2024-05-01,1287,90.3,13.6,13,3.4,9,1.7
2024-11-01,1287,-,-,-,-,-,-
2024-10-01,1287,-,-,-,-,-,-
2024-09-01,1287,-,-,-,-,-,-
2010-04-01,1962,56,16.9,16.2,3.7,10,1.4
2010-08-01,1962,187.4,12.4,13.3,4.4,-,1.6
2010-12-01,1962,94.4,20.3,18.2,4.9,11,1.6
2010-02-01,1962,4.6,21.6,19.8,4,9,1.2
2010-01-01,1962,44,19.9,17.4,4.9,14,1.8
2010-07-01,1962,87,10.6,11.1,3.5,10,1.8
2010-06-01,1962,160.8,12.1,12.8,4.5,15,2
2010-03-01,1962,7.6,19.1,16.6,5.1,17,1.8
2010-05-01,1962,162.8,14.3,14.3,3.9,12,2.1
2010-11-01,1962,22.3,16.8,15,4.5,4,2
2010-10-01,1962,19.8,14.2,12.5,5.1,13,1.4
2010-09-01,1962,112,13.6,13,6.3,19,1.6
2011-04-01,1962,152.3,16.4,15.6,4.1,8,1.7
2011-08-01,1962,43.5,10.7,11.2,3.8,-,2.4
2011-12-01,1962,192.2,18.4,17,5,17,1.4
2011-02-01,1962,28.2,21.1,19.6,4.5,-,1.3
2011-01-01,1962,184.1,20.6,18,5.1,12,1.1
2011-07-01,1962,103.8,11.5,11.3,5.3,17,1.9
2011-06-01,1962,144.4,13.4,13.6,4.2,13,2.1
2011-03-01,1962,139.6,18.8,17.5,3.7,6,2
2011-05-01,1962,150.4,15.4,15.7,4.6,16,2.1
2011-11-01,1962,50.2,16.2,14,6.5,17,1.2
2011-10-01,1962,115.2,15.3,14.3,5,13,1.5
2011-09-01,1962,86.2,12.3,11.9,4.8,17,1.1
2012-04-01,1962,23.4,16.8,15.4,4.1,-,1.9
2012-08-01,1962,132.8,12.6,12.9,3.7,9,1.2
2012-12-01,1962,69.8,19.6,18.2,4.9,12,2.4
2012-02-01,1962,116.8,19.8,18.7,3.9,7,1
2012-01-01,1962,56.2,19,17,5,15,1.1
2012-07-01,1962,141.2,11.2,11.5,3.6,10,2.4
2012-06-01,1962,88,11.8,11.9,4.3,12,2.3
2012-03-01,1962,145.2,17.8,15.9,4.8,13,1.2
2012-05-01,1962,82,13.4,12.9,4.1,15,2
2012-11-01,1962,31,15.6,13.2,5.2,13,1.4
2012-10-01,1962,69.2,14.3,13.1,6.4,22,1.5
2012-09-01,1962,107.6,13.2,12.3,5.8,18,2
2013-04-01,1962,107.4,17.7,17.7,4.1,10,1.9
2013-08-01,1962,147.6,12.6,12.4,4.3,14,1.1
2013-12-01,1962,115,18.6,16.4,4.9,13,1
2013-02-01,1962,25.2,20.2,17.3,4.2,7,1.4
2013-01-01,1962,9.2,20.3,16.5,5.2,14,1.6
2013-07-01,1962,46.4,11.4,11.7,3.2,8,1.8
2013-06-01,1962,158.6,12.1,12.7,3.8,8,2
2013-03-01,1962,39.8,19.8,17.5,3.8,7,1.2
2013-05-01,1962,238,14.1,14.8,3.5,12,2.3
2013-11-01,1962,-,17.6,15.4,4.4,-,2.1
2013-10-01,1962,33.6,15.1,13.4,5.8,17,1.5
2013-09-01,1962,135,13.6,12.6,5.7,17,2.1
2014-04-01,1962,107.8,18,16.8,4.1,8,2
2014-08-01,1962,139.6,11.8,11.1,4.9,17,1.6
2014-12-01,1962,64.6,18.4,16.2,4.8,-,1.9
2014-02-01,1962,11,20.4,17.3,4.5,9,1.4
2014-01-01,1962,42,19.1,15.8,5.7,19,1.4
2014-07-01,1962,92.4,10.9,11,4.8,17,2.3
2014-06-01,1962,182.6,13.2,13,4,13,1.6
2014-03-01,1962,25.2,18.4,15.7,4.3,7,1.2
2014-05-01,1962,79.6,14,13.8,3.4,6,2.5
2014-11-01,1962,58.8,15.5,13.6,6.1,17,1.9
2014-10-01,1962,91.2,14.6,12.8,5.8,14,1.6
2014-09-01,1962,174.8,13.6,12.8,5.3,16,1.5
2015-04-01,1962,-,17,15.9,4.3,12,2.3
2015-08-01,1962,145.8,11.5,11.5,3.8,11,2
2015-12-01,1962,26.8,18.4,15.1,5.8,15,1.4
2015-02-01,1962,38,20.2,17.9,3.9,5,1.3
2015-01-01,1962,13.6,21,18,4,3,1.4
2015-07-01,1962,190.4,10.7,10.9,4.3,15,2.3
2015-06-01,1962,88.8,12.4,11.8,5.2,18,2.5
2015-03-01,1962,73.2,20.1,17.6,4,8,1.5
2015-05-01,1962,123.4,13.8,13.5,4.2,11,2.3
2015-11-01,1962,81,16.2,14,4.9,-,2.5
2015-10-01,1962,43.6,14.7,13,6,18,1.2
2015-09-01,1962,107.2,12.8,11.5,4.9,13,1.3
2016-04-01,1962,32.4,17.4,15.8,3.5,3,1.6
2016-08-01,1962,79.8,11.4,11.2,4.2,12,1.8
2016-12-01,1962,32.8,18,14.7,5.4,-,1.3
2016-02-01,1962,100,21.9,20.4,4.1,6,1
2016-01-01,1962,128.2,20.9,19.3,4.4,11,1.6
2016-07-01,1962,130,11.7,11.1,5.7,20,2
2016-06-01,1962,124.6,12.8,12.9,4,13,2.3
2016-03-01,1962,26.8,20.1,18.8,4.2,10,1.3
2016-05-01,1962,153.2,16.3,15.5,4.6,17,1.6
2016-11-01,1962,80.8,16.5,14,6.5,-,1.4
2016-10-01,1962,65,15.1,13.4,5.5,17,1.4
2016-09-01,1962,175.2,13.8,13.3,4.6,12,2.2
2017-04-01,1962,178,17.7,17.1,3.8,12,2
2017-08-01,1962,116.8,12.7,12.6,3.9,13,1.7
2017-12-01,1962,7.6,20.5,16.9,4.6,11,1.3
2017-02-01,1962,60.4,20.5,18.2,4,4,1.5
2017-01-01,1962,34.6,19.3,15.8,6.2,16,1.5
2017-07-01,1962,178,11.2,11.6,3.9,12,1.9
2017-06-01,1962,47.6,12.1,12,3.5,7,1.6
2017-03-01,1962,260.8,19.7,18.1,4.4,9,1.2
2017-05-01,1962,107.8,13.8,13.3,3.9,10,2.3
2017-11-01,1962,23,17,14.5,4.3,8,1.7
2017-10-01,1962,75.8,15.3,13.8,5.9,-,1.4
2017-09-01,1962,98,13.8,12.7,5.4,17,1.6
2018-04-01,1962,157,17.2,16,4.9,16,2.1
2018-08-01,1962,115,12.1,12.1,3.8,11,1
2018-12-01,1962,206,19.1,17.2,5.1,14,1.4
2018-02-01,1962,148.8,21.1,20.6,4.5,10,1.9
2018-01-01,1962,65.6,22.5,21,5.1,12,1.2
2018-07-01,1962,124.2,11.3,11.7,3.6,12,1.5
2018-06-01,1962,194.8,11.6,11.7,3.9,11,2.2
2018-03-01,1962,56.4,19.9,17.9,3.9,9,1.4
2018-05-01,1962,97.4,14.8,14,4.3,10,3.1
2018-11-01,1962,98,16.4,14.7,4.6,10,2
2018-10-01,1962,76.9,14.3,13.1,4.2,-,1.3
2018-09-01,1962,46.4,13.1,11.8,4.8,13,1.8
2019-04-01,1962,67.2,15.9,14.3,3.6,8,1.7
2019-08-01,1962,189.4,12.1,11.7,5.9,20,1.6
2019-12-01,1962,51,19.3,16.1,5.5,16,1.6
2019-02-01,1962,20.6,20.8,17.9,4.2,7,1.4
2019-01-01,1962,31.6,21.1,19.1,5.3,9,1.3
2019-07-01,1962,146,12.1,12.3,3.7,13,1.8
2019-06-01,1962,85.2,11.7,11.5,3.6,11,1.5
2019-03-01,1962,53.2,20.1,18.5,3.3,6,1.1
2019-05-01,1962,63.4,15,14.3,3.8,11,1.4
2019-11-01,1962,-,17.4,15,5.4,-,2
2019-10-01,1962,68.6,14.6,13.1,6.4,18,1.4
2019-09-01,1962,126.4,13.3,12.4,5.6,18,1.5
2020-04-01,1962,32.6,16.5,15.2,4,9,1.4
2020-08-01,1962,121,12.4,12.2,4.6,16,1.5
2020-12-01,1962,36.2,18.7,15.2,5.6,16,2
2020-02-01,1962,14.4,21.4,17.7,4.5,8,1.7
2020-01-01,1962,7.8,19.9,16.6,5.3,6,1.9
2020-07-01,1962,91.8,11.7,11.7,4.2,12,1.8
2020-06-01,1962,161.2,13.2,13,4.1,13,1.2
2020-03-01,1962,40.4,19,15.7,4.1,8,2
2020-05-01,1962,105.2,14.1,13.1,3.6,9,2.1
2020-11-01,1962,105.8,17.6,15.3,5.4,16,1.4
2020-10-01,1962,-,15.8,14.3,4.3,-,2.7
2020-09-01,1962,44,13.3,12,5.4,15,2
2021-04-01,1962,65.6,17.3,16.3,4.1,13,2
2021-08-01,1962,90.6,12.3,11.7,4.8,14,1.5
2021-12-01,1962,-,21,18.7,5.3,-,1.2
2021-02-01,1962,49.2,20.5,17.2,4.1,7,1.1
2021-01-01,1962,40.6,20.4,17.2,4.8,10,1.3
2021-07-01,1962,87.6,11.6,11.6,4.4,16,2.2
2021-06-01,1962,102.4,13.4,13.6,3.8,10,2.1
2021-03-01,1962,49.2,19.4,16.5,3.9,7,1.3
2021-05-01,1962,67,14.4,13.8,4.1,11,2.3
2021-11-01,1962,36.8,18.2,16.6,4.1,6,1.9
2021-10-01,1962,104.8,15.6,14.4,5.3,17,1.8
2021-09-01,1962,112.2,13.3,12.2,5.2,15,1.6
2022-04-01,1962,34,17.9,16,3.9,11,2.1
2022-08-01,1962,156.4,12.9,12.5,4.1,10,2.3
2022-12-01,1962,107,19.9,18.1,4.3,6,1.9
2022-02-01,1962,63.2,22.3,19.8,4.9,11,2.1
2022-01-01,1962,8.8,21.6,17.4,4.5,7,0.9
2022-07-01,1962,257.2,13.1,12.9,4.9,20,1.9
2022-06-01,1962,147,13.2,12.7,4.3,15,2.1
2022-03-01,1962,121.4,20.3,16.6,4.4,7,1.3
2022-05-01,1962,-,15.2,14.5,3.9,-,2.1
2022-11-01,1962,165.4,17.7,16.3,5.1,18,1.2
2022-10-01,1962,106.6,15.3,13.6,4.7,13,2.2
2022-09-01,1962,114,13.6,12.5,4.2,10,2.2
2023-04-01,1962,94,17.9,16.5,4.9,18,2.1
2023-08-01,1962,68,10.9,10.9,3.7,-,1.3
2023-12-01,1962,146.8,19.6,17.8,4.9,10,2.3
2023-02-01,1962,205.2,20.1,18.9,5.2,10,1.6
2023-01-01,1962,419.6,20.4,18.9,5.3,16,0.9
2023-07-01,1962,98,12.2,11.9,5.8,22,1.6
2023-06-01,1962,117,12.4,12.2,3.9,10,1.8
2023-03-01,1962,47.6,18.2,16.9,4,6,2
2023-05-01,1962,270.8,15.7,16.1,5.1,18,2.8
2023-11-01,1962,-,16.7,14.7,4.8,-,1.5
2023-10-01,1962,59.6,15.3,13.6,5.6,14,2
2023-09-01,1962,133.4,14.2,13.5,5.7,16,1.5
2024-04-01,1962,81.6,17,15.7,4.1,10,1.8
2024-08-01,1962,-,-,-,-,-,-
2024-12-01,1962,-,-,-,-,-,-
2024-02-01,1962,43.8,20.5,17.6,4.3,5,1.3
2024-01-01,1962,28.4,21.6,18.6,4.2,6,1.9
2024-07-01,1962,115.8,11.6,11.7,3.4,10,1.9
2024-06-01,1962,117.4,13.4,13.1,3.5,9,1.7
2024-03-01,1962,68.6,17.8,15.5,4.7,12,2
2024-05-01,1962,141.2,13.1,12.6,4.1,14,1.8
2024-11-01,1962,-,-,-,-,-,-
2024-10-01,1962,-,-,-,-,-,-
2024-09-01,1962,-,-,-,-,-,-
