Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2017-09-01,2112,-,12.1,12.3,3.8,-,1.9
2018-04-01,2112,102.2,15,15.3,3.3,8,2.4
2018-08-01,2112,131.6,9.7,11.2,2.8,6,1.4
2018-12-01,2112,178.6,18.1,17.7,3.1,7,1.8
2018-02-01,2112,203.4,19.7,19.6,3,4,2.3
2018-01-01,2112,111.8,21.4,20.7,3.3,7,1.5
2018-07-01,2112,133.4,9,10,2.8,10,2.1
2018-06-01,2112,141,9.3,10.3,3.1,8,2.8
2018-03-01,2112,59.8,18.3,17,2.8,3,1.7
2018-05-01,2112,145.8,12.3,13.1,2.8,7,3.2
2018-11-01,2112,91.8,15,14.7,3.1,7,2.4
2018-10-01,2112,77.6,12.7,12.6,2.9,5,1.4
2018-09-01,2112,57.4,11.4,11.5,3.3,7,2.2
2019-04-01,2112,82.6,13.8,13.3,2.6,3,1.9
2019-08-01,2112,130.8,10.3,11.4,3.9,15,2
2019-12-01,2112,59.4,17.9,16.5,3.5,10,2
2019-02-01,2112,18,19.7,16.6,3,1,2
2019-01-01,2112,31.8,19.8,19.1,3.6,8,2
2019-07-01,2112,125.8,10,11.2,2.9,7,2.1
2019-06-01,2112,72.2,9.1,10.1,2.6,7,2.2
2019-03-01,2112,46.8,19,17.1,2.4,2,1.4
2019-05-01,2112,61.8,12.4,12.7,2.6,8,2.1
2019-11-01,2112,44,16.3,15.3,3.4,11,2.7
2019-10-01,2112,55.8,13.3,12.9,4.4,16,2
2019-09-01,2112,124.4,11.5,12.2,3.9,16,1.8
2020-04-01,2112,76.4,14.4,13.7,2.6,7,1.7
2020-08-01,2112,-,10.4,11.3,3.3,9,2.2
2020-12-01,2112,34.8,16.6,14.6,3.4,9,2.5
2020-02-01,2112,17.8,20,17,2.9,5,2.2
2020-01-01,2112,9.4,18.3,15.9,3.4,9,2.3
2020-07-01,2112,105.8,9.3,10.6,3,8,2.4
2020-06-01,2112,111,11.1,12,3,3,1.9
2020-03-01,2112,74.4,17,14.6,3.1,3,2.3
2020-05-01,2112,77.2,11.3,12,2.5,3,2.8
2020-11-01,2112,165.6,15.7,14.5,3.8,12,2
2020-10-01,2112,60.6,14,13.2,2.9,4,3.2
2020-09-01,2112,72,11.4,11.2,4,14,2.4
2021-04-01,2112,64.8,14.8,14.6,2.6,7,2.6
2021-08-01,2112,143.4,9.8,10.3,3.2,7,2.1
2021-12-01,2112,78.4,19.3,18,3.2,6,1.6
2021-02-01,2112,41.6,19.1,15.4,2.9,4,1.6
2021-01-01,2112,76.6,18.2,16.7,2.9,-,1.9
